,goal_difference_1,form_1,form_weighted_1,goal_difference_2,form_2,form_weighted_2,home_away,target,team_1_B,team_1_C,team_1_D,team_2_B,team_2_C,team_2_D
417,-1,0.0,0.0,47,2.6,10.4,0,0,1,0,0,0,0,0
418,6,1.4,4.2,26,1.8,0.8400000000000001,1,3,1,0,0,0,0,0
419,26,1.8,0.8400000000000001,6,1.4,4.2,0,0,0,0,0,1,0,0
420,18,1.4,5.6,-12,1.4,1.1199999999999999,1,0,0,0,0,0,1,0
421,-12,1.4,1.1199999999999999,18,1.4,5.6,0,3,0,1,0,0,0,0
422,-10,1.6,3.2,20,1.6,0.64,1,1,0,1,0,1,0,0
423,20,1.6,0.64,-10,1.6,3.2,0,1,1,0,0,0,1,0
424,-29,1.2,1.2,-7,1.4,0.24,1,3,0,0,1,0,1,0
425,-7,1.4,0.24,-29,1.2,1.2,0,0,0,1,0,0,0,1
426,-18,0.8,0.8,6,0.4,0.16,1,1,0,0,1,0,1,0
427,6,0.4,0.16,-18,0.8,0.8,0,1,0,1,0,0,0,1
428,4,1.6,3.2,-10,0.8,0.64,1,3,0,1,0,0,1,0
429,-10,0.8,0.64,4,1.6,3.2,0,0,0,1,0,0,1,0
430,-22,2.0,2.8,-3,1.8,0.5599999999999999,1,3,0,0,1,0,1,0
431,-3,1.8,0.5599999999999999,-22,2.0,2.8,0,0,0,1,0,0,0,1
432,26,1.8,7.2,-18,0.8,1.44,1,3,0,0,0,0,0,1
433,-18,0.8,1.44,26,1.8,7.2,0,0,0,0,1,0,0,0
434,21,2.2,6.6,-3,0.8,1.3199999999999998,1,3,1,0,0,0,1,0
435,-3,0.8,1.3199999999999998,21,2.2,6.6,0,0,0,1,0,1,0,0
436,-10,1.0,2.0,-10,1.2,0.4,1,1,0,1,0,0,1,0
437,-10,1.2,0.4,-10,1.0,2.0,0,1,0,1,0,0,1,0
438,8,1.0,2.6,4,1.4,0.52,1,3,1,0,0,1,0,0
439,4,1.4,0.52,8,1.0,2.6,0,0,1,0,0,1,0,0
440,-11,1.4,2.8,-30,0.6,0.5599999999999999,1,3,0,1,0,0,0,1
441,-30,0.6,0.5599999999999999,-11,1.4,2.8,0,0,0,0,1,0,1,0
442,-10,2.6,4.6,15,1.4,0.9199999999999999,1,3,0,1,0,0,0,0
443,15,1.4,0.9199999999999999,-10,2.6,4.6,0,0,0,0,0,0,1,0
444,-1,0.2,0.4,-22,1.6,0.08,1,1,0,1,0,0,0,1
445,-22,1.6,0.08,-1,0.2,0.4,0,1,0,0,1,0,1,0
446,-8,0.8,1.6,5,1.6,0.32,1,0,0,1,0,0,1,0
447,5,1.6,0.32,-8,0.8,1.6,0,3,0,1,0,0,1,0
448,-4,1.2,2.4,48,2.6,0.48,1,0,0,1,0,0,0,0
449,48,2.6,0.48,-4,1.2,2.4,0,3,0,0,0,0,1,0
450,4,1.4,4.2,21,2.2,0.8400000000000001,1,0,1,0,0,1,0,0
451,21,2.2,0.8400000000000001,4,1.4,4.2,0,3,1,0,0,1,0,0
452,54,3.0,12.0,-16,1.0,2.4,1,3,0,0,0,0,0,1
453,-16,1.0,2.4,54,3.0,12.0,0,0,0,0,1,0,0,0
454,5,1.6,3.2,27,2.0,0.64,1,1,0,1,0,1,0,0
455,27,2.0,0.64,5,1.6,3.2,0,1,1,0,0,0,1,0
456,-21,2.0,2.6,7,0.8,0.52,1,3,0,1,0,1,0,0
457,7,0.8,0.52,-21,2.0,2.6,0,0,1,0,0,0,1,0
458,19,1.4,5.6,-34,0.6,1.1199999999999999,1,3,0,0,0,0,0,1
459,-34,0.6,1.1199999999999999,19,1.4,5.6,0,0,0,0,1,0,0,0
460,-13,1.0,2.0,-7,2.6,0.4,1,0,0,1,0,0,1,0
461,-7,2.6,0.4,-13,1.0,2.0,0,3,0,1,0,0,1,0
462,-1,0.4,0.8,-4,1.4,0.16,1,1,0,1,0,0,1,0
463,-4,1.4,0.16,-1,0.4,0.8,0,1,0,1,0,0,1,0
